typegodkjenningsnr;eu_hovednummer;merkekode;modellbetegnelse;typebetegnelse;kjoretoygruppe;ramme_karosseri;motorytelse;slagvolum;drivstoff;lengde;bredde;std_dekk_foran;std_dekk_bak;std_felg_foran;std_felg_bak;min_li_foran;min_li_bak;min_hast_foran;min_hast_bak;min_innpress_foran;min_innpress_bak;maks_sporv_foran;maks_sporv_bak;motormerking;girkasse;stand_dba;omdreininger;totalvekt;egenvekt;till_foraksellast;till_bakaksellast;variant;versjon;gyldig_fra_unr;drivende_hjul;vognkort_anm;identitet_anm;antall_aksler;antall_aksler_drift;tilhengervekt_m_brems;tilhengervekt_u_brem;lengde_til_tilhkobling;max_belastning_h_feste;max_taklast;vogntogvekt;ytelsesmaal;co2_utslipp;sitteplasser;fab_mont_partikkelfilter
1840011973;;2600;"TAUNUS 1300";"GBTK";101;;0;1294;1;427;170;"165 SR 13";"165 SR 13";"4 1/2\"";"4 1/2\"";"RADIAL";"RADIAL";;;0;0;"0000";"0000";;;0;0;1430;990;680;790;;;;;;"LENGDE: 427 CM.";2;1;720;495;0;0;0;0;1;0;5;0
59570172015;"e6*2001/116*0105*13";5480;"RAV4";"XA3(A)";101;"FLERBRUKSBIL";112;1987;1;457;185;"225/65R17";"225/65R17";"17X7J";"17X7J";"102";"102";"H";;39;39;"1570";"1570";"3ZR-FAE";"MANUELL";79;3750;2100;1490;1150;1150;"ZSA44(N)";"ZSA44L-ANFMPW(2P)";"???????V?????????";"ALLE";"EGENVEKT OG NYTTELAST ER VEILEDENDE - AVHENGIG AV UTSTYR;";;2;2;2000;750;0;80;0;4100;1;159;5;0
52750151997;"e1*93/81*0025*02";2001;"ALMERA";"N15";101;"SELVBÆRENDE KAROSSERI, LUKKET MED 4 SIDEDØRER";73;1597;1;432;169;"175/65 R 14";"175/65 R 14";"5 1/2 JJ";"5 1/2 JJ";"79";"79";"R";;40;40;"1480";"1445";"GA16";"AUTOMAT";79;4500;1595;1105;855;815;"J";"J11";"JN1BCAN15U0000000";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1160;500;0;75;75;2755;1;0;5;0
70032008;;870;"CAMPER LIFESTYLE";"WDT2DC5CB";703;"BPW, TO LANGSGÅENDE STÅLBJELKER, CAMPINGTILHENGER";0;0;0;850;250;"185/70R14";"185/70R14";"5.5J";"5.5J";"84";"84";;;0;0;"2210";"2210";;;0;0;2000;1635;0;2000;;;"WDT2DC5CB?0000001";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";"INTERN BET.: CAMPER LIFESTYLE 670DB.";2;0;0;0;0;100;0;0;1;0;0;0
51990122017;"e2*2007/46*0475*06";4800;"KADJAR";"RFE";101;"STASJONSVOGN";81;1461;2;445;184;"215/65R16";"215/65R16";"6.5J16";"6.5J16";"96";"96";"H";;40;40;"1562";"1560";"K9K F6";"AUTOMAT";77;2850;1943;1407;1070;950;"HH2";"A3AABA005000";"???RFE???????????";"FORAN";"EGENVEKT OG NYTTELAST ER VEILEDENDE - AVHENGIG AV UTSTYR;";;2;1;1450;740;0;75;0;3393;1;99;5;2
2870011975;;5750;"PASSAT S AUT COMBI C";"32";101;;0;1588;1;422;160;"155 SR X 13";"155 SR X 13";"4,5\"";"4,5\"";;;;;0;0;"0000";"0000";;;0;0;1330;910;680;700;;;;;;;2;1;815;450;0;0;0;0;1;0;5;0
70190592015;"e1*2001/116*0211*38";5750;"TOURAN";"1T";101;"FLERBRUKSBIL";110;1395;1;453;183;"205/60R16";"205/60R16";"6.5JX16";"6.5JX16";"94";"94";"V";;48;48;"1569";"1542";"CZD";"AUTOMAT";73;3750;2140;1430;1080;1110;"CZDAAF";"FD7FD7CW0027MMS71VR264";"??????1T?????????";"FORAN";"EGENVEKT OG NYTTELAST ER VEILEDENDE - AVHENGIG AV UTSTYR;";;2;1;1500;750;0;80;75;3665;1;127;7;0
61080322010;"e1*2001/116*0252*30";5750;"CADDY";"2K";101;"STASJONSVOGN";75;1598;2;441;179;"195/65R15";"195/65R15";"6JX15";"6JX15";"90";"90";"R";;47;47;"1537";"1534";"CAY";"MANUELL";78;2375;2264;1473;1075;1200;"ACCAYDX01";"FM5FM5A4056SK0J27MGNN1";"??????2K?????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1500;750;0;75;100;3650;1;149;5;2
59741992017;"e11*2007/46*0243*24";5150;"OCTAVIA";"5E";101;"STASJONSVOGN";132;1798;1;467;181;"205/55R16";"205/55R16";"6.5JX16";"6.5JX16";"91";"91";"V";;46;46;"1549";"1544";"CJS";"AUTOMAT";75;3750;1887;1282;960;970;"ACCJSAX0";"NFD7FD7CW005S1MLN677";"???????E?????????";"FORAN";"EGENVEKT OG NYTTELAST ER VEILEDENDE - AVHENGIG AV UTSTYR;";;2;1;1600;670;0;75;75;3487;1;133;5;0
62782552013;"e1*2001/116*0430*29";1230;"A4 LIMOUSINE";"B8";101;"SEDAN";125;1798;1;470;183;"205/60R16";"205/60R16";"7JX16";"7JX16";"92";"92";"W";;39;39;"1566";"1554";"CJE";"AUTOMAT";72;3750;2020;1470;1065;1065;"LCJEBF1";"FAVAW010RB8K1S57MMEM1";"??????B8?????????";;"EGENVEKT OG NYTTELAST ER VEILEDENDE - AVHENGIG AV UTSTYR. ;";;2;1;1500;750;0;80;0;3590;1;134;5;0
52770142001;"e11*96/27*0073*10";5000;"9-5";"YS3EXXXX";101;"LUKKET MED 4 SIDEDØRER OG BAKLUKE";147;2962;1;483;179;"215/55 R 16";"215/55 R 16";"6.5J";"6.5J";"90";"90";"V";;49;49;"1522";"1522";"B308E";"AUTOMAT";77;3750;2190;1650;1175;1125;"E5Z";"A05";"YS3E?59????000001";"FORAN";"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;1;1800;750;0;75;100;3990;1;268;5;0
66265962012;"e1*2007/46*0217*12";5750;"CADDY";"2KN";315;"INTEGRERT FØRERHUS";103;1968;2;488;179;"205/50R17";"205/50R17";"6JX17";"6JX17";"92";"92";"T";;50;50;"1537";"1512";"CFH";"AUTOMAT";72;2375;2373;1661;1200;1250;"BBCFHCX11";"L0J2AD6AD62E083N1S27MQG3";"??????2K?????????";"ALLE";"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";;2;2;1450;750;0;80;100;3800;1;177;2;2
56510012017;"e1*2007/46*0608*04";1230;"RS 3 LIMOUSINE";"8V";101;"SEDAN";294;2480;1;448;180;"235/35R19";"235/35R19";"8.0JX19";"8.0JX19";"91";"91";"Y";;42;42;"1573";"1542";"DAZ";"AUTOMAT";98;3750;2005;1515;1075;1035;"LDAZAQ1";"QD7QD7BH006P8V517MMEM1";"?????????????????";"ALLE";"EGENVEKT OG NYTTELAST ER VEILEDENDE - AVHENGIG AV UTSTYR;";;2;2;0;0;0;0;0;0;1;188;5;0
10690022009;"e1*2001/116*0437*02";460;"VAN TI 600 MG";"250CEMAD";316;"SEPARAT RAMME, LUKKET MED 3 DØRER";115,50;2999;2;668;219;"215/70 R 15 CP";"215/70 R 15 CP";"6 J";"6 J";"109";"109";"N";;68;68;"1810";"1790";"F1CE0481D";"MANUELL";84;2625;3500;2778;1850;2000;;;"ZFA25000001100001";"FORAN";"EGENVEKT OG NYTTELAST ER VEILEDENDE-AVHENGIG AV UTSTYRSNIVÅ";"BYGD PÅ FIAT UNDERSTELL.";2;1;1800;750;0;80;80;5300;1;0;4;2
40120062000;"e3*74/150*0004*00";9570;"SPRINT 654-55";"10S80";401;;40,90;3000;2;427;210;"320/70R20";"480/70R28";"W10";"W14";"109";"121";"A8";;0;0;"1840";"1800";"10003W2";"MANUELL";0;0;4915;2735;2035;2880;"L10S553WVT";;"L10S553WVT1001";"ALLE";"EGENVEKT OG NYTTELAST ER VEIL.AVHENGIG AV UTSTYR,";;2;2;0;0;0;0;0;0;1;0;1;0
