kjennemerke;understellsnr;reg_aar;reg_forsteg_norge;merkekode;modellbetegnelse;typebetegnelse;kjoretoygruppe;motorytelse;slagvolum;drivstoff;lengde;bredde;std_dekk_foran;std_dekk_bak;std_felg_foran;std_felg_bak;min_li_foran;min_li_bak;min_hast_foran;min_hast_bak;min_innpress_foran;min_innpress_bak;sporvidde_foran;sporvidde_bak;totalvekt;egenvekt;akseltrykk_foran;akseltrykk_bak;eu_variant;eu_versjon;bruktimportert;avreg_dato;farge;antall_aksler;antall_aksler_drift;tilhengervek_m_brems;tilhengervekt_u_brems;lengde_til_tilhkobling;max_belastning_h_fest;max_taklast;vogntogvekt;ytelsesmaal;sist_pkk_godkjent;neste_pkk;siste_reg_dato;reg1g;co2_utslippp;euronorm;sitteplasser;fab_mont_partikkelfilter
"CE05400";"E100665C";1968;19680528;400;"EUROPE I";"-";703;0;0;0;409;198;;"5.20 X 13";;;;;;;0;0;0;0;620;480;0;0;;;0;19940315;"GUL";1;0;0;0;0;0;0;0;0;0;0;19850401;0;0;;0;0
"DA18910";"11101410033935";1962;19640402;3900;"220 SE";"-";101;0;2150;1;488;180;"7.25X13";"7.25X13";;;;;;;0;0;0;0;1865;1340;0;0;;;0;19841231;;2;1;1340;670;0;0;0;0;0;0;20161031;19710617;0;0;;5;0
"VF34550";"4T272SV1007003730";1992;20000310;5480;"CAMRY 2.2 ST";"V 10W";101;100;2164;1;480;177;"195/70 R14";"195/70 R14";;;"87";"87";;;0;0;0;0;1925;1440;1030;1075;;;1;0;"SØLV";2;1;1500;500;0;0;0;0;0;20160810;20181031;20010713;1216;0;;5;0
"DL02040";"2J4222123";1980;19980429;8550;"SR 500";"-";620;20;495;1;211;84;"350- 19";"400- 18";;;"68";"68";"N";;0;0;0;0;320;163;0;0;;;1;20090831;"SVART";2;1;0;0;0;0;0;0;0;0;0;20080822;0;0;;2;0
"KB06160";"8BV016074";1995;19951116;8550;"V MAX 600 XT";"8BV";630;66;598;1;281;116;;;;;;;;;0;0;0;0;431;261;0;0;;;0;20050315;;0;0;0;0;0;0;0;0;1;0;0;19960104;0;0;;1;0
"LL06250";"YXAA2030F1F307004";2001;20011116;1190;"-";"A2030F";709;0;0;0;448;192;"155 R 13";"155 R 13";"4.5J";"4.5J";"84";"84";;;0;0;1690;1690;1300;500;998;998;;;0;0;"HVIT";2;0;0;0;0;120;0;0;0;0;0;20150624;1116;0;;0;0
"ZJ02920";"47G0330";1986;19860718;460;"AZUR 600 TK";"-";703;0;0;0;759;230;"145 SR 13";;;;;;;;0;0;0;0;1500;1150;0;1500;;;0;20031231;;1;0;0;0;0;0;0;0;0;0;0;19860718;0;0;;0;0
"JE04150";"JE4150";1980;19800610;0;"FOR GODS";"-";709;0;0;0;360;150;;"5.00X8";;;;"4";;;0;0;0;0;500;140;0;500;;;0;0;;1;0;0;0;0;0;0;0;0;0;0;20071012;0;0;;0;0
"SD35860";"WDB9066331S170454";2007;20070413;3900;"315 CDI SPRINTER";"WDB906633";101;110;2148;2;591;199;"235/65R16C";"235/65R16C";"6.5J";"6.5J";"113";"113";"R";;62;62;1710;1716;3500;2410;1650;2250;;;0;0;"SØLV";2;1;2000;750;0;100;300;5500;1;20171012;20191031;20150213;413;225;;6;2
"ZW08060";"YG9021500D1975725";2013;20130313;1142;"EUROWAGON";"4600 1.9";709;0;0;0;615;234;"185R14C";;"5,5J";;"98";;"J";;30;0;2140;0;1500;650;1500;0;;;0;0;"HVIT";1;0;0;0;0;100;0;0;0;0;0;20140310;313;0;;0;0
"E006600";"183627";1966;19660414;8403;"CORVETTE";"-";601;0;47;1;0;0;;;;;;;;;0;0;0;0;150;60;0;0;;;0;0;;2;1;0;0;0;0;0;0;0;0;0;20010725;0;0;;1;0
"186400";"9754";1964;20020610;5800;"18335VD";"18335VD";101;76;1780;1;440;170;"165R15";"165R15";"41/2J";"41/2J";"76";"76";"R";;0;0;0;0;1450;1170;700;800;;;1;20121228;"RØD";2;1;1240;750;0;0;0;0;1;20061031;20081031;20020610;227;0;;2;0
