Kode;Navn
0191;EVERETT-MORRISON MOTORCARS
7180;EVF
7450;EVINRUDE
0331;EVO
0744;EVOKE
0767;EVOLITE
7110;EVT
0915;EWII
0146;EXCALIBUR
1890;EXELL
0504;EXIMO
0252;EXISS
1001;EZ LOADER
0081;EZNEN
2880;EZS
0137;F.A.G
1105;FA FA ME
7410;FACTORY BIKE
0243;FACTORY FIVE
9200;FAHR
8030;FANTIC
0831;FANTIC MOTOR
2380;FARGO
0401;FARMA
9220;FARMALL
1289;FARMTRAC
0347;FARO
8166;FASPIDER
0523;FAT EWO
0036;FAUN
0872;FAV
1218;FAVORIT
1164;FAYMONVILLE
1223;FBL FAHRZEUGBAU LADEBURG
0699;FEBA
0773;FEBER
2440;FEDERAL
7892;FEILING
0332;FEISHEN
7710;FEIYING
1021;FELDBINDER
1050;FENDT
1197;FENDT CARAVAN
1116;FENIAN
9242;FERGUSON
0027;FERQUI
2400;FERRARI
0042;FERREL
0862;FGM S.R.L.
2450;FIAT
0405;FIAT DUCATO/GLOBE-TRAVELLER
1078;FIBER TRAIL
0068;FIBERLINE SPORTBOOTE
0957;FINKL
6370;FINNCAT
1199;FISKER
0964;FIT-ZEL
1240;FJALLVAGNEN
2460;FJELDHUS BRUK
2370;FK
0288;FLAMINGO TRAILERS
2470;FLEETWOOD
0729;FLEUR DE LYS AUTOMOBILE
3020;FLEX TRAILER
0667;FLIEGL
1148;FLIEGL FAHRZEUGBAU
0300;FLIPPER
0249;FLUID
0352;FLYER
0929;FMG
0738;FMS
0591;FN HERSTAL
1600;FOBO
1680;FOGELSTA
0296;FOLDTRAILER
0458;FOODSTATION SWEDEN
0944;FOODY WHEEL
2500;FORD
2600;FORD
9260;FORD
2601;FORD-CNG-TECHNIK
9280;FORDSON
1276;FOREST RIVER
0312;FORSS
0310;FORSS-PARATOR
0311;FORSS-PARATOR
0215;FORT
0635;FORZAB TRAILER AB
1420;FOSS-EIK
0330;FOSSER
8730;FOTON
0564;FRACHT
7490;FRAM KING
1970;FRANKIA
0046;FRANKLIN
0186;FREEWHEEL
0404;FREIGHTLINER
0829;FRENO-AIR
0717;FRISIAN MOTORS
1047;FROMENT
0340;FRUEHAUF
0581;FSO-WARSZAWA
0926;FTG
0589;FUEL PROOF
0074;FULU
0582;FUNTEAR
0078;FUSO
8476;FUXIN
2690;FWD
7711;FYM
0153;FYM SACHS
0889;FYNCAR
0923;G-518
1009;G. KUHR FAHRZEUG
3580;GALLOPER
8390;GAMAX
0443;GAMO
8120;GARELLI
0806;GARELLI MOTORS
0113;GARIA
6560;GAS GAS
1190;GAUPEN
1081;GAZ
7080;GDF
1011;GENERIC
7730;GENERIC MOTOR
0483;GENESIS
1285;GEORGIE BOY PURSUIT
2840;GEOTEX
0445;GEWE
0376;GFÖLLNER
1062;GG
7510;GGC
0474;GIANT
8450;GIANTCO
0622;GIGANT
7560;GILERA
8138;GINOMOTO
1180;GISEBO
1235;GLA-WEL
2752;GLAS
7050;GLIDER
7350;GLOBAL GENERATION CULT
0766;GLOBE-TRAVELLER
0988;GLOBECAR
0051;GLOBUS
1141;GLOWACZ
3331;GM DAEWOO
2740;GMC
0106;GNIOTPOL
8136;GOES
0108;GOFA
2750;GOGGOMOBIL
2751;GOGGOMOBIL
7936;GOKA
0893;GOLDEN DRAGON
0477;GOLDHOFER
2800;GOLIATH
0149;GOOKAR
0267;GOPO
0832;GOTHA
0341;GOUPIL
1237;GOVECS
0183;GRACE
0194;GRAHAM EDWARDS
1026;GRALLE
0214;GREAT WALL MOTOR COMPANY LIMITED
6500;GRECAV
0053;GRESVIG
0572;GREW
0737;GROVE - MOBILKRAN
2700;GRUAU
0608;GRUNDMEIER
1231;GS MEPPEL
8341;GSMOON
9320;GULDNER
0818;GULERYUZ
0092;GULF STREAM
7924;GUOBEN
0198;GUOWEI
2850;GUTBROD
1640;GYRO
0309;GÖÖK-VAGNAR
1056;H&W
8159;HAILI
8441;HAIZHIMENG
0516;HAKHOL
0421;HAKPOL
1260;HALVORSEN & DAMM
1036;HAMMAR
0928;HANGLER
8468;HANGLONG
0268;HANNIGAN MOTORSPORTS
2890;HANOMAG-HENSCHEL
2900;HANSA
1019;HANWAY
1204;HAPERT
1022;HARBECK
7660;HARLEY-DAVIDSON
0420;HARRYDA
0919;HARTFORD
0754;HAULMARK
1293;HAVERKATE
7330;HCF
0410;HEBE
0182;HEBY-TRAILERN
1065;HECO
0950;HEGGESETH
3260;HEGGLUNDS
0247;HEINEMANN
7680;HEINKEL
1015;HEKU
0934;HENDERSON
1083;HENGSRØD SMIE
1102;HENRA
3000;HENRY J.
0775;HENSIM
6610;HER CHEE
1215;HERBST
8408;HERCULES
6650;HERO
6651;HERO MAJESTIC
0875;HEULIEZ
0876;HEULIEZ BUS
0497;HFR.
8474;HI-BIRD
0201;HIGER
7420;HIGHLAND
0715;HIGHROADER
3050;HILLMAN
3060;HINO
3220;HIPPE HENGER`N
1271;HIRTH
0111;HISUN
7250;HM
0430;HMF
0216;HMK BILCON
0138;HMMWV
0568;HMT FAHRZEUGTECHNIK GMBH
7720;HMW
1020;HOBBY
1195;HOBUR
0646;HOFMANNS KAROSSERI AB
3333;HOLDEN
8490;HOLDER
0248;HOLICAMP
1238;HOLTKAMPER
0131;HOMAR
1870;HOME-CAR
7740;HONDA
7380;HONGYI
7322;HONLEI
1074;HOOPER
3150;HORCH
7760;HOREX
8137;HR
7100;HRD
0545;HSS
8472;HSUN
1690;HT
0538;HT-VERKEN
7130;HTM
7934;HUAJUE
8130;HUASHA
8469;HUATIAN
3250;HUDSON
7896;HUDSON BIKE
0575;HUFFERMANN
0702;HUISKAMP CARROSSERIEFABRIEK
1144;HULCO
3090;HUMBAUR
3300;HUMBER
4030;HUMMER
0936;HUMUS
8590;HURLIMANN
0918;HURRICANE CARGO
6620;HUSABERG
7780;HUSQVARNA
0969;HVM
9000;HYDREMA
0254;HYLANDER
3520;HYMER
6580;HYOSUNG
3390;HYUNDAI
0452;HØGLUND
2410;HØLAND TRAILER
0188;HÛDIG
0749;IBG HYDRO-TECH
0202;IF8
3353;IFA
2620;IFOR WILLIAMS
0558;IGLAND
6770;IGM
0412;IIC
0784;ILES AUTOMOTIVE
1920;ILR
0450;ILSBO
0470;ILSENG
1259;IM-SLAPET
0592;IMP.SPES.KJØRETØY
0819;IMPERIAL
8560;IMT
7922;INCALCU
0034;INDCAR
0614;INDEPENDENCE
3165;INDESPENSION
7840;INDIAN
0112;INDIAN MOTORCYCLE
0939;INDIGO
4330;INFINITI
7860;INO
3080;INTERCONSULT
3380;INTERNATIONAL
9360;INTERNATIONAL HARVESTER
9361;INTERNATIONAL HARVESTER
1044;INTHO
8153;IRBIT MOTORCYCLE PLANT
1209;IRISBUS
0010;IRIZAR
0515;IRONWORKS MOTORCYCLES
0482;ISACHSEN
9170;ISEKI
7880;ISO
0548;ISOLI
0480;ISTRAIL
0481;ISTRAIL
3240;ISUZU
6570;ITALJET
7170;ITALVEL
1232;ITINEO
0022;ITRUNNER
3310;IVECO
0882;IVECO/DIGICROSS
0752;IVECO/IGLOOCAR
0877;IVECOBUS
3230;IZH
0721;JAC
3400;JAGUAR
0014;JAGUAR (JAGUAR CARS LIMITED)
0015;JAGUAR (JAGUAR LAND ROVER LIMITED)
1279;JAGUAR CARS
0017;JAGUAR CARS LIMITED
1278;JAGUAR LAND ROVER
0009;JAGUAR LAND ROVER LIMITED
0714;JALON
3410;JALTA
0927;JAMES
0103;JANS CREACAR
7920;JAWA
2510;JAXAL
1052;JAXIN
8660;JCB
2050;JECOTE
3510;JEEP
7671;JEHM
3500;JENSEN
1023;JET-LOADER
0129;JETTRADE
1480;JF
7935;JFC
7891;JIAJI
8161;JIAJUE
1051;JIALING
8290;JIANSHE
0805;JIAYUAN
0804;JIAYUANG
8461;JINAN
6850;JINCHENG
8160;JINDING
8151;JINLING
7870;JINLUN
8700;JINMA
0414;JINYI MOTOR
0363;JJ-TRAILER
0519;JKS PRODUCTS
1264;JMR TRADING B.V
8144;JMSTAR
0025;JNEN
9380;JOHN DEERE
7910;JOHNSON
3831;JOINT
1079;JOKO
1150;JOMI
7898;JONWAY
7460;JORDAN
1189;JOTHA
3550;JOWETT
0502;JPM
1122;JST
1246;JUNAK
0586;JUNCAR OY
0597;JUNGE FAHRZEUGBAU GMBH
2350;JUNKKARI
0799;JUPITER
0143;JUST ENERGY POWER
0521;JUTUL
1159;JYFA
2930;JYKI
2920;JÆRBO
1111;K-VAGNEN
0750;K.SANDNES TILHENGERFABRIKK
2080;KA-MEK
1410;KABE
0002;KAESSBOHRER
1059;KAFO
1037;KAINUO
3600;KAISER
1131;KALF
0528;KALKHOFF
3620;KALMAR
0016;KAMAG
0594;KAMATO
3196;KANE
0130;KANI
8133;KANUNI
0056;KAPENA
1490;KARASJOK
1095;KARAVAN TRAILERS
4060;KARMANN MOBIL
0904;KAROSSERIEBAU SCHULZ GMBH
3630;KARRIER
7670;KASEA
7231;KASEA MOTORSPORTS
0911;KATMERCILER
3160;KAUPE
2520;KAUTEC
7970;KAWASAKI
0665;KAYO
7907;KAZUMA
7550;KEEWAY
2960;KEL-BERG
1221;KELLFRI
0049;KENROD
7292;KENTOYA
0323;KENWORTH
1112;KERENSO
0136;KERSTNER
0778;KESLA
3420;KEWET
7630;KEWET BUDDY
3450;KIA
0140;KILAFORS
3120;KIMADAN
0682;KINGDAY
7611;KINROAD
8750;KIOTI
0690;KIP
1210;KIPA
0437;KIRCHHOFF ECOTEC GMBH
0500;KJELLMANS'
7540;KL
0845;KLAGIE MASBURG
1121;KLC
0370;KLETT
0649;KLS
0556;KLÖCKNER MOTORRÄDER
1510;KMA
0542;KMZ
1561;KNAPEN
0460;KNAUS
0961;KNOTT-AVONRIDE LIMITED
0101;KOBO-COOP
1117;KOCH
3660;KOCKUM
1055;KOENIGSEGG
1248;KOMATSU
0395;KOMPACT KAMP
0381;KONAG
0211;KONAR
6530;KORADO
3340;KORANDO
0849;KOTSCHENREUTHER
1288;KP-VAGNEN
0217;KRAKER
0685;KRAMER
1108;KRAMER WERKE GMBH
0631;KRAMPE
0287;KRASSORT
7990;KREIDLER
0147;KROMHOUT
1810;KRONE
0706;KRONOS
0316;KSR MOTO
6350;KTM
0366;KUBA
9150;KUBOTA
7904;KUDAKI
0527;KUFER
0811;KUKJE
0812;KUKJEMACHINERY CO., LTD
0240;KURIER
6430;KURIKAN
1258;KYBURZ
2170;KYLLINGEKARRAN
6730;KYMCO
0494;KØGEL
4380;LA STRADA
4070;LADA
5630;LADA-VAZ
1265;LAFINTO
0005;LAG
0838;LAGAB
3940;LAIKA
0128;LAIMU
0139;LAK-T5 GLIDER TRAILER
0587;LAMAR
9570;LAMBORGHINI
7940;LAMBRETTA
3700;LANCIA
0031;LANCIER
4953;LAND ROVER
